"PTNR_REGIONAL_MASTER_CD","COUNTRY_CD","YEARWEEK","TOTAL_SALES"
0,AE,202036,1194954.8800000853
0,AE,202037,864517.2000000168
0,AE,202038,1037952.0500000523
0,AE,202039,2484227.2599999653
0,AE,202040,1753740.2400001
0,AE,202041,1498350.1500000763
0,AE,202042,1054899.1900000863
0,AE,202043,2733802.7399997376
0,AE,202044,2221267.7800001237
0,AE,202045,1764159.8799998784
0,AE,202046,1764506.590000068
0,AE,202047,2131832.6499996586
0,AE,202048,2204642.2000000877
0,AE,202049,3163519.5500003155
0,AE,202050,2280273.2300000493
0,AE,202051,1851038.4600001937
0,AE,202052,2666930.240000126
0,AE,202101,1847073.0600000566
0,AE,202102,1025930.2499999262
0,AE,202103,727564.099999894
0,AE,202104,1084166.7799999628
0,AE,202105,1055283.969999996
0,AE,202106,1012198.1199998959
0,AE,202107,1222974.4499998034
0,AE,202108,2367943.13999996
0,AE,202109,2507918.1700002174
0,AE,202110,2011066.2400001732
0,AE,202111,802292.4999999626
0,AE,202112,1174265.7999999488
0,AE,202113,2316333.459999753
0,AE,202114,2085076.5899998238
0,AE,202115,1225604.0000000608
0,AE,202116,926937.4000000685
0,AE,202117,1663026.6099995554
0,AE,202118,2689905.549999929
0,AE,202119,1146946.5200000945
0,AE,202120,763168.7200000456
0,AE,202121,2325850.659999504
0,AE,202122,2434220.029999442
0,AE,202123,2346890.339999566
0,AE,202124,2305533.6599996584
0,AE,202125,1812788.5099998396
0,AE,202126,1910738.0499999144
0,AE,202127,1064438.0300000824
0,AE,202128,1200450.2199998966
0,AE,202129,1261227.8999997026
0,AE,202130,2170920.169999857
0,AE,202131,1415516.5999999302
0,AE,202132,1852581.1000001135
0,AE,202133,1072431.7800000526
0,AE,202134,1639513.4300000344
0,AE,202135,2119994.690000136
0,AE,202136,1814878.4700001737
0,AE,202137,1195853.740000168
0,AE,202138,1326849.5100000014
0,AE,202139,2488285.8300001235
0,AE,202140,2756010.239999677
0,AE,202141,1530921.8899999848
0,AE,202142,2035861.4099991268
0,AE,202143,2854301.2699998273
0,AE,202144,2554114.5299999826
0,AE,202145,3289857.9899996496
0,AE,202146,2427943.6199997156
0,AE,202147,3078923.2299998556
0,AE,202148,3558743.200000054
0,AE,202149,2414687.0900003216
0,AE,202150,2145844.470000265
0,AE,202151,1921128.3000001712
0,AE,202152,2183943.2000000696
0,AE,202201,1411197.530000025
0,AE,202202,1189750.420000075
0,AE,202203,1186085.6500000618
0,AE,202204,1452008.2000000896
0,AE,202205,2126536.9400000465
0,AE,202206,1701386.8800000737
0,AE,202207,1463679.9800001439
0,AE,202208,2627793.9600001727
0,AE,202209,3024855.2599998615
0,AE,202210,1275680.0900001414
0,AE,202211,938380.0399999754
0,AE,202212,1371142.5700000739
0,AE,202213,3138159.0599998846
0,AE,202214,1712474.270000024
0,AE,202215,995559.7800000233
0,AE,202216,1011863.5100000023
0,AE,202217,2258171.4700000132
0,AE,202218,2115963.749999934
0,AE,202219,1399824.7100000873
0,AE,202220,1222822.8400001125
0,AE,202221,3738689.809999093
0,AE,202222,3414812.2399994265
0,AE,202223,3136656.559999727
0,AE,202224,2372985.1400000947
0,AE,202225,2216953.8300000783
0,AE,202226,1811365.2500000917
0,AE,202227,998997.2100000252
0,AE,202228,886481.8700000254
0,AE,202229,925807.4500000862
0,AE,202230,1603889.1600000842
0,AE,202231,1440805.5300000361
0,AE,202232,1187122.5200000815
0,AE,202233,889118.5400000362
0,AE,202234,1903946.16000007
0,AE,202235,3261993.5499994834
0,AE,202236,2674678.119999977
0,AE,202237,1292167.0200000033
0,AE,202238,1034356.2600000331
0,AE,202239,1492496.139999946
0,AE,202240,2302444.4399998076
0,AE,202241,2300724.950000038
0,AE,202242,1864263.9100000707
0,AE,202243,2666385.7799999574
0,AE,202244,3360372.4099988136
0,AE,202245,3517149.4099997077
0,AE,202246,2982521.96999978
0,AE,202247,2632204.8500000564
0,AE,202248,3203743.6499996865
0,AE,202249,3779641.189999573
0,AE,202250,2875071.1699999664
0,AE,202251,2657543.8600002793
0,AE,202252,2487265.9999996223
0,AE,202301,1846909.3000000832
0,AE,202302,1379099.9299999601
0,AE,202303,1292607.1999999906
0,AE,202304,
0,AE,202305,
0,AE,202306,
0,AT,202224,
0,AT,202225,
0,AT,202226,
0,AT,202227,
0,AT,202228,
0,AT,202229,
0,AT,202230,
0,AT,202231,
0,AT,202232,
0,AT,202233,
0,AT,202234,
0,AT,202235,
0,AT,202236,
0,AT,202237,
0,AT,202238,
0,AT,202239,
0,AT,202240,
0,AT,202241,
0,AT,202242,
0,AT,202243,
0,AT,202244,
0,AT,202245,
0,AT,202246,
0,AT,202247,
0,AT,202248,
0,AT,202249,
0,AT,202250,
0,AT,202251,
0,AT,202252,
0,AT,202301,
0,AT,202302,
0,AT,202303,
0,AU,202013,
0,AU,202036,137295.9699999997
0,AU,202037,258235.39000000077
0,AU,202038,132688.87999999983
0,AU,202039,259304.60999999853
0,AU,202040,363282.3399999933
0,AU,202041,397353.51999999804
0,AU,202042,374967.1499999949
0,AU,202043,641666.1400000079
0,AU,202044,439531.3199999988
0,AU,202045,402106.3999999985
0,AU,202046,481720.63999999105
0,AU,202047,586520.3999999973
0,AU,202048,290435.01999999525
0,AU,202049,199292.0400000021
0,AU,202050,141794.4400000003
0,AU,202051,139363.31999999942
0,AU,202052,176661.50999999995
0,AU,202101,125127.86999999962
0,AU,202102,144743.1900000003
0,AU,202103,116683.04000000002
0,AU,202104,131341.58999999939
0,AU,202105,137383.29999999938
0,AU,202106,213932.94999999943
0,AU,202107,161600.38999999996
0,AU,202108,124891.34000000027
0,AU,202109,139781.6799999996
0,AU,202110,194936.66000000018
0,AU,202111,135534.41999999923
0,AU,202112,146077.44999999917
0,AU,202113,161017.9199999984
0,AU,202114,192312.58999999892
0,AU,202115,139250.45999999988
0,AU,202116,123172.0800000003
0,AU,202117,93116.61999999997
0,AU,202118,86686.11999999994
0,AU,202119,233042.2400000017
0,AU,202120,278970.5100000069
0,AU,202121,219678.01000000304
0,AU,202122,143314.1500000009
0,AU,202123,210751.25000000186
0,AU,202124,102338.39000000108
0,AU,202125,52340.44000000012
0,AU,202126,61344.61999999999
