"PTNR_REGIONAL_MASTER_CD","COUNTRY_CD","YEARWEEK","SALESLOCALCURRENCY"
0,AE,202036,4385435.309999685
0,AE,202037,3172696.8799997033
0,AE,202038,3809333.6399998437
0,AE,202039,9117040.240000777
0,AE,202040,6438150.240000758
0,AE,202041,5506009.969999955
0,AE,202042,3871482.809999699
0,AE,202043,10032946.950000111
0,AE,202044,8151925.09000029
0,AE,202045,6474376.030000826
0,AE,202046,6475658.770000018
0,AE,202047,7823822.700000975
0,AE,202048,8090957.890000349
0,AE,202049,11610111.540000366
0,AE,202050,8368635.910000683
0,AE,202051,6793342.480000473
0,AE,202052,9787656.790000724
0,AE,202101,6778767.530000411
0,AE,202102,3765182.9499999895
0,AE,202103,2670250.7999998694
0,AE,202104,3978973.3199999626
0,AE,202105,3873020.7499999767
0,AE,202106,3714848.519999766
0,AE,202107,4488338.779999863
0,AE,202108,8690346.220001658
0,AE,202109,9204042.860001693
0,AE,202110,7380599.740001173
0,AE,202111,2944511.890000041
0,AE,202112,4309596.420000025
0,AE,202113,8500865.020000303
0,AE,202114,7652219.220000466
0,AE,202115,4497764.100000522
0,AE,202116,3401731.7500004065
0,AE,202117,6103269.010000808
0,AE,202118,9871866.409999428
0,AE,202119,4209220.590000167
0,AE,202120,2800726.0700004036
0,AE,202121,8535920.18000052
0,AE,202122,8933584.790000666
0,AE,202123,8613023.430000452
0,AE,202124,8461218.370000336
0,AE,202125,6652838.19000022
0,AE,202126,7012346.540000323
0,AE,202127,3907016.0300000575
0,AE,202128,4406102.8000008715
0,AE,202129,4628649.850000925
0,AE,202130,7973773.8800004395
0,AE,202131,5199437.560000442
0,AE,202132,6804934.779999791
0,AE,202133,3939255.130000339
0,AE,202134,6022336.77000015
0,AE,202135,7787266.09000003
0,AE,202136,6666455.960000119
0,AE,202137,4392617.270000318
0,AE,202138,4873824.360001482
0,AE,202139,9140020.240000883
0,AE,202140,10123523.21000003
0,AE,202141,5623394.410000138
0,AE,202142,7478202.3100005
0,AE,202143,10484486.31000039
0,AE,202144,9381827.96000054
0,AE,202145,12084262.280000689
0,AE,202146,8918406.150000272
0,AE,202147,11309604.000000391
0,AE,202148,13072155.050000839
0,AE,202149,8869591.930001432
0,AE,202150,7882043.700001202
0,AE,202151,7056586.8700011065
0,AE,202152,8021969.000001119
0,AE,202201,5183674.370000287
0,AE,202202,4370099.680000074
0,AE,202203,4356748.240000306
0,AE,202204,5333626.240000213
0,AE,202205,7818217.480000864
0,AE,202206,6260580.200000384
0,AE,202207,5384857.110000556
0,AE,202208,9667757.340000328
0,AE,202209,11176791.499999994
0,AE,202210,4765487.54000048
0,AE,202211,3520581.4700003895
0,AE,202212,5127630.859999746
0,AE,202213,12077967.359999873
0,AE,202214,6647744.360000335
0,AE,202215,3875613.679999943
0,AE,202216,3943749.060000335
0,AE,202217,8825781.460000286
0,AE,202218,8258695.750000667
0,AE,202219,5444312.820000105
0,AE,202220,4792093.570000434
0,AE,202221,14414579.769998586
0,AE,202222,13283052.63999989
0,AE,202223,12221021.439999972
0,AE,202224,9310244.860000841
0,AE,202225,8662882.2400015
0,AE,202226,7078405.310000718
0,AE,202227,3988511.130000226
0,AE,202228,3538661.6500004334
0,AE,202229,3708090.2400007206
0,AE,202230,6316573.31000082
0,AE,202231,5707137.680000421
0,AE,202232,4703585.790000416
0,AE,202233,3546767.200000331
0,AE,202234,7409315.000000637
0,AE,202235,12645382.479999028
0,AE,202236,10366088.850000326
0,AE,202237,5043700.41000016
0,AE,202238,4127547.2200003653
0,AE,202239,5868201.850000532
0,AE,202240,8976860.030000899
0,AE,202241,9017850.530000633
0,AE,202242,7254425.809998124
0,AE,202243,10495578.860000478
0,AE,202244,13085091.320000457
0,AE,202245,13727633.000000052
0,AE,202246,11730071.989999399
0,AE,202247,10423840.669999652
0,AE,202248,12645567.139999054
0,AE,202249,14798846.030001624
0,AE,202250,11352314.139999395
0,AE,202251,10446492.869998377
0,AE,202252,9855538.849997446
0,AE,202301,7355292.869998451
0,AE,202302,5499527.42999904
0,AE,202303,5170607.329999501
0,AE,202304,1738.41
0,AE,202305,40164.929999999986
0,AE,202306,245.65
0,AT,202224,759.59
0,AT,202225,3810.97
0,AT,202226,5143.26
0,AT,202227,1064.9899999999998
0,AT,202228,2861.1899999999982
0,AT,202229,1205.819999999999
0,AT,202230,2166.4699999999993
0,AT,202231,2124.4300000000003
0,AT,202232,3289.2299999999996
0,AT,202233,2618.04
0,AT,202234,1669.8800000000006
0,AT,202235,5049.47
0,AT,202236,2814.69
0,AT,202237,7826.23
0,AT,202238,3818.4099999999967
0,AT,202239,2972.47
0,AT,202240,14591.150000000003
0,AT,202241,7893.320000000003
0,AT,202242,26910.509999999966
0,AT,202243,22387.77999999996
0,AT,202244,33853.770000000026
0,AT,202245,8725.779999999992
0,AT,202246,7359.709999999996
0,AT,202247,71693.12000000001
0,AT,202248,53245.789999999855
0,AT,202249,73697.76999999986
0,AT,202250,47605.090000000026
0,AT,202251,35970.219999999834
0,AT,202252,30668.439999999853
0,AT,202301,26754.48999999993
0,AT,202302,31728.94
0,AT,202303,24880.109999999935
0,AU,202013,190.82
0,AU,202036,176020.4699999988
0,AU,202037,331071.2600000017
0,AU,202038,170113.67999999796
0,AU,202039,332439.62999999983
0,AU,202040,479610.8799999961
0,AU,202041,581845.5399999914
0,AU,202042,480726.33999999607
0,AU,202043,822650.3100000008
0,AU,202044,568523.339999992
0,AU,202045,515521.34999999317
0,AU,202046,617589.9999999914
0,AU,202047,751950.3099999863
0,AU,202048,374297.2499999993
0,AU,202049,263381.1899999954
0,AU,202050,183754.03999999794
0,AU,202051,178671.63999999894
0,AU,202052,228276.75999999672
0,AU,202101,162134.22999999786
0,AU,202102,188112.91999999815
0,AU,202103,150685.42999999985
0,AU,202104,168386.1000000001
0,AU,202105,177707.40999999968
0,AU,202106,277967.75999999925
0,AU,202107,209713.10999999935
0,AU,202108,160115.83999999904
0,AU,202109,179206.81999999963
0,AU,202110,251706.10999999932
0,AU,202111,175355.2099999996
0,AU,202112,187275.51999999877
0,AU,202113,212466.6
0,AU,202114,256409.37000000264
0,AU,202115,185660.8399999978
0,AU,202116,164223.05999999872
0,AU,202117,124150.43000000031
0,AU,202118,115576.630000001
0,AU,202119,310718.4499999969
0,AU,202120,371957.5299999978
0,AU,202121,292896.8700000017
0,AU,202122,191082.5700000013
0,AU,202123,280998.2900000014
0,AU,202124,136449.56999999908
0,AU,202125,69785.56999999992
0,AU,202126,81791.59999999977
0,AU,202127,190246.3299999995
0,AU,202128,151400.5099999992
0,AU,202129,179981.83999999872
0,AU,202130,277168.8099999993
0,AU,202131,124480.17999999951
0,AU,202132,170109.0999999986
0,AU,202133,136216.7899999997
0,AU,202134,352587.3499999991
0,AU,202135,111859.63999999948
0,AU,202136,130865.8199999996
0,AU,202137,273567.4899999992
0,AU,202138,284600.9200000002
0,AU,202139,370009.8100000006
0,AU,202140,467105.8399999961
0,AU,202141,587278.2299999943
0,AU,202142,400785.0299999968
0,AU,202143,1062853.5400000021
0,AU,202144,920526.3499999869
0,AU,202145,675198.4800000004
0,AU,202146,720140.3800000001
0,AU,202147,780897.6600000093
0,AU,202148,766318.9500000061
0,AU,202149,611961.4799999947
0,AU,202150,466848.41999999434
0,AU,202151,444104.2599999964
0,AU,202152,308724.85999999905
0,AU,202201,226324.25000000003
0,AU,202202,212850.35999999888
0,AU,202203,225632.17999999953
0,AU,202204,223576.46999999927
0,AU,202205,287783.750000002
0,AU,202206,280965.0099999998
0,AU,202207,353933.4699999996
0,AU,202208,386050.31000000105
0,AU,202209,351047.5799999996
0,AU,202210,295584.21999999846
0,AU,202211,288277.21999999986
0,AU,202212,273943.60000000335
0,AU,202213,220854.14000000252
0,AU,202214,327153.6000000035
0,AU,202215,248812.6900000018
0,AU,202216,233435.34000000235
0,AU,202217,245543.9500000031
0,AU,202218,234701.51999999981
0,AU,202219,512738.2899999985
0,AU,202220,476628.39999999583
0,AU,202221,349515.03999999864
0,AU,202222,319706.11999999906
0,AU,202223,305241.359999999
0,AU,202224,247646.64999999918
0,AU,202225,229490.59999999922
0,AU,202226,184914.5999999994
0,AU,202227,159005.4900000003
0,AU,202228,219915.4499999992
0,AU,202229,258951.32999999818
0,AU,202230,299568.45
0,AU,202231,385883.809999998
0,AU,202232,298848.15999999875
0,AU,202233,445272.7100000009
0,AU,202234,363916.5899999968
0,AU,202235,353368.53999999515
0,AU,202236,427926.30999999517
0,AU,202237,488787.44000000303
0,AU,202238,372718.9400000023
0,AU,202239,571956.4899999981
0,AU,202240,578499.49
0,AU,202241,686224.8400000067
0,AU,202242,519520.87999999314
0,AU,202243,1179548.890000009
0,AU,202244,1025606.3799999894
0,AU,202245,721060.6899999902
0,AU,202246,762591.5699999935
0,AU,202247,1112842.5900000068
0,AU,202248,946716.0799999951
0,AU,202249,546194.6899999967
0,AU,202250,400284.8799999963
0,AU,202251,350964.59999999846
0,AU,202252,243996.5800000006
0,AU,202301,205948.8400000014
0,AU,202302,217835.46000000005
0,AU,202303,253641.17999999883
0,BE,202246,39215.390000000014
0,BE,202247,57504.16000000009
0,BE,202248,31342.020000000055
0,BE,202249,34852.29000000005
0,BE,202250,19896.720000000016
0,BE,202251,15708.110000000011
0,BE,202252,14670.700000000013
0,BE,202301,14789.920000000011
0,BE,202302,11793.919999999984
0,BE,202303,11966.279999999982
0,BH,202036,68594.18999999715
0,BH,202037,64737.90999999827
0,BH,202038,49112.97999999887
0,BH,202039,108003.51999999899
0,BH,202040,73833.13999999696
0,BH,202041,96407.7699999977
0,BH,202042,53845.449999997654
0,BH,202043,170217.99999999226
0,BH,202044,108771.42999999832
0,BH,202045,67355.65999999514
0,BH,202046,71628.08999999714
0,BH,202047,88874.50999999353
0,BH,202048,128051.93999999773
0,BH,202049,160399.35000000405
0,BH,202050,111316.16000000114
0,BH,202051,88465.39999999838
0,BH,202052,180744.88000000227
0,BH,202101,116182.6900000006
0,BH,202102,51798.94999999956
0,BH,202103,36225.200000000514
0,BH,202104,59718.34999999973
0,BH,202105,58951.97999999975
0,BH,202106,45628.95000000014
0,BH,202107,58240.69999999904
0,BH,202108,162538.90000000267
0,BH,202109,161191.0300000055
0,BH,202110,96740.24000000129
0,BH,202111,30318.290000000354
0,BH,202112,45730.810000000485
0,BH,202113,64099.33000000064
0,BH,202114,64530.43999999974
0,BH,202115,58715.710000000356
0,BH,202116,39690.40999999904
0,BH,202117,45259.420000000326
0,BH,202118,52182.160000000054
0,BH,202119,107144.46999999999
0,BH,202120,92941.11000000009
0,BH,202121,122723.74000000017
0,BH,202122,114899.9100000002
0,BH,202123,187767.89000000703
0,BH,202124,203007.70000000874
0,BH,202125,140694.56000000372
0,BH,202126,146454.4600000039
0,BH,202127,76089.09999999964
0,BH,202128,57321.270000000455
0,BH,202129,68584.10000000111
0,BH,202130,143852.55000000453
0,BH,202131,86728.76999999992
0,BH,202132,80129.72000000105
0,BH,202133,58587.3499999998
0,BH,202134,87684.01000000068
0,BH,202135,130645.97000000393
0,BH,202136,101623.13000000344
0,BH,202137,78682.21000000069
0,BH,202138,67359.79999999935
0,BH,202139,94729.94000000115
0,BH,202140,142642.3400000005
0,BH,202141,79591.6500000012
0,BH,202142,104687.64000000057
0,BH,202143,183446.92000000225
0,BH,202144,95002.86
0,BH,202145,132807.8400000027
0,BH,202146,117888.55000000173
0,BH,202147,152820.15000000218
0,BH,202148,232798.14999999953
0,BH,202149,144217.38999999984
0,BH,202150,122426.90000000087
0,BH,202151,103047.43999999994
0,BH,202152,116043.04000000027
0,BH,202201,61339.859999999644
0,BH,202202,41212.98000000039
0,BH,202203,38329.8900000002
0,BH,202204,57162.229999999654
0,BH,202205,60956.81000000012
0,BH,202206,47314.45000000014
0,BH,202207,55642.72000000092
0,BH,202208,165099.0100000035
0,BH,202209,141158.04000000254
0,BH,202210,36647.539999999484
0,BH,202211,35544.64000000023
0,BH,202212,52485.02999999973
0,BH,202213,144411.13000000123
0,BH,202214,67833.0999999992
0,BH,202215,41485.76000000052
0,BH,202216,41558.28999999971
0,BH,202217,91021.71000000028
0,BH,202218,84254.12999999925
0,BH,202219,71433.95999999966
0,BH,202220,44199.74999999982
0,BH,202221,267125.9699999987
0,BH,202222,187789.09999999843
0,BH,202223,166985.38000000006
0,BH,202224,160556.53000000078
0,BH,202225,159678.97000000035
0,BH,202226,106125.36000000004
0,BH,202227,47050.40999999954
0,BH,202228,36067.0099999995
0,BH,202229,47313.28999999994
0,BH,202230,108972.09999999974
0,BH,202231,66631.6499999992
0,BH,202232,58211.07999999973
0,BH,202233,36202.529999999664
0,BH,202234,113565.90000000203
0,BH,202235,182587.66000000355
0,BH,202236,139927.7900000027
0,BH,202237,53515.53000000088
0,BH,202238,44913.66000000063
0,BH,202239,56274.60999999972
0,BH,202240,95704.20000000147
0,BH,202241,48010.6999999998
0,BH,202242,83610.05000000144
0,BH,202243,136201.2800000041
0,BH,202244,173781.86000000424
0,BH,202245,128515.35999999785
0,BH,202246,113304.88999999921
0,BH,202247,95561.9099999987
0,BH,202248,137343.05999999717
0,BH,202249,181507.00000000026
0,BH,202250,146769.6999999956
0,BH,202251,137985.21999999834
0,BH,202252,136875.31999999986
0,BH,202301,81930.52000000059
0,BH,202302,46597.67000000039
0,BH,202303,44632.62000000079
0,CL,201948,24660619
0,CL,201949,90996807
0,CL,201950,87274765
0,CL,202036,96417017
0,CL,202037,111898460
0,CL,202038,116077011
