"PTNR_REGIONAL_MASTER_CD","COUNTRY_CD","YEARWEEK","UNITS"
0,AE,202036,175196.0
0,AE,202037,121975.0
0,AE,202038,155034.0
0,AE,202039,283051.0
0,AE,202040,237858.0
0,AE,202041,214876.0
0,AE,202042,131945.0
0,AE,202043,349549.0
0,AE,202044,288692.0
0,AE,202045,217083.0
0,AE,202046,247611.0
0,AE,202047,287504.0
0,AE,202048,335876.0
0,AE,202049,560689.0
0,AE,202050,442277.0
0,AE,202051,341216.0
0,AE,202052,553484.0
0,AE,202101,343603.0
0,AE,202102,134520.0
0,AE,202103,83572.0
0,AE,202104,139824.0
0,AE,202105,120131.0
0,AE,202106,112859.0
0,AE,202107,170577.0
0,AE,202108,383609.0
0,AE,202109,410376.0
0,AE,202110,322698.0
0,AE,202111,111487.0
0,AE,202112,173347.0
0,AE,202113,281101.0
0,AE,202114,334036.0
0,AE,202115,142540.0
0,AE,202116,125288.0
0,AE,202117,264616.0
0,AE,202118,493678.0
0,AE,202119,164618.0
0,AE,202120,95298.0
0,AE,202121,463673.0
0,AE,202122,490545.0
0,AE,202123,466437.0
0,AE,202124,481557.0
0,AE,202125,364988.0
0,AE,202126,360534.0
0,AE,202127,135519.0
0,AE,202128,237097.0
0,AE,202129,259371.0
0,AE,202130,406338.0
0,AE,202131,250085.0
0,AE,202132,495385.0
0,AE,202133,251979.0
0,AE,202134,282073.0
0,AE,202135,371519.0
0,AE,202136,336900.0
0,AE,202137,180768.0
0,AE,202138,195832.0
0,AE,202139,314747.0
0,AE,202140,468460.0
0,AE,202141,227388.0
0,AE,202142,353842.0
0,AE,202143,388243.0
0,AE,202144,295227.0
0,AE,202145,553482.0
0,AE,202146,416977.0
0,AE,202147,663429.0
0,AE,202148,801075.0
0,AE,202149,496134.0
0,AE,202150,454417.0
0,AE,202151,372341.0
0,AE,202152,392111.0
0,AE,202201,193791.0
0,AE,202202,147083.0
0,AE,202203,147915.0
0,AE,202204,199740.0
0,AE,202205,247249.0
0,AE,202206,188743.0
0,AE,202207,197536.0
0,AE,202208,455751.0
0,AE,202209,532724.0
0,AE,202210,181202.0
0,AE,202211,119689.0
0,AE,202212,175108.0
0,AE,202213,536449.0
0,AE,202214,242132.0
0,AE,202215,143093.0
0,AE,202216,138370.0
0,AE,202217,383438.0
0,AE,202218,342208.0
0,AE,202219,228895.0
0,AE,202220,181834.0
0,AE,202221,784091.0
0,AE,202222,648807.0
0,AE,202223,661826.0
