"COUNTRY_CD","YEARWEEK","SALESLOCALCURRENCY"
AE,201749,2367021.04000017
AE,201750,2010565.19000014
AE,201751,1876887.1900000907
AE,201752,3405290.739999971
AE,201753,1225295.3200000213
AE,201801,1221661.1300000167
AE,201802,1459460.7300000284
AE,201803,1326086.9300000009
AE,201804,1635599.8100000964
AE,201805,1671452.2500001057
AE,201806,1596869.790000029
AE,201807,1678197.3900000423
AE,201808,2955977.8700000644
AE,201809,7046760.810000008
AE,201810,2572456.6900001336
AE,201811,1232848.5699999966
AE,201812,11108733.549999982
AE,201813,1376148.3699999838
AE,201814,1780164.3700000197
AE,201815,861954.2199999999
AE,201816,786041.459999996
AE,201817,1005374.29
AE,201818,1065403.8399999929
AE,201819,1187907.5599999921
AE,201820,1931312.7000000556
AE,201821,2441488.540000239
AE,201822,3423430.619999731
AE,201823,4359142.870000023
AE,201824,3477522.5100002214
AE,201825,1451151.3400000844
AE,201826,1447914.8000000354
AE,201827,1138551.019999987
AE,201828,1157691.9899999853
AE,201829,1318725.739999983
AE,201830,1259678.4799999886
AE,201831,1152451.7299999853
AE,201832,1188859.8999999783
AE,201833,1033757.1899999889
AE,201834,1430518.6300000073
AE,201835,7421989.50000008
AE,201836,2409821.0500000925
AE,201837,1037428.1699999856
AE,201838,1150755.7199999837
AE,201839,1537545.8799999969
AE,201840,1269047.5799999784
AE,201841,1269712.7799999802
AE,201842,3219430.310000024
AE,201843,2542816.5200000363
AE,201844,2957829.920000043
AE,201845,2863081.519999992
AE,201846,2365774.1000000415
AE,201847,3648974.770000031
AE,201848,3306534.8300000206
AE,201849,4481279.0600000955
AE,201850,3975727.7500002924
AE,201851,3685547.110000341
AE,201852,2584795.310000123
AE,201901,1395678.730000002
AE,201902,1554055.540000003
AE,201903,1410517.2299999893
AE,201904,1835644.5500000298
AE,201905,2313694.3700000304
AE,201906,1370631.099999991
AE,201907,1655919.0200000135
AE,201908,1707244.1200000125
AE,201909,2622683.350000045
AE,201910,1733626.6500000104
AE,201911,1614288.290000007
AE,201912,1658493.1400000008
AE,201913,3706343.4900000365
AE,201914,1008320.24999999
AE,201915,918994.6199999976
AE,201916,1003999.3500000022
AE,201917,8425284.840000024
AE,201918,4783479.600000065
AE,201919,1237791.7899999933
AE,201920,1856526.9900000521
AE,201921,2848932.860000201
AE,201922,3978064.3200002685
AE,201923,3582809.0600003353
AE,201924,2290328.880000195
AE,201925,1560651.5600000606
AE,201926,1634880.9100000244
AE,201927,1468864.9900000065
AE,201928,1392383.3000000315
AE,201929,1496234.90000007
AE,201930,1637697.070000071
AE,201931,1445841.6500000462
AE,201932,1216033.5400000066
AE,201933,1233638.8600000152
AE,201934,1977570.0900001198
AE,201935,1631229.060000084
AE,201936,1492674.800000007
AE,201937,1309177.4600000095
AE,201938,2052563.5300000773
AE,201939,10875063.169999762
AE,201940,2080477.3100000483
AE,201941,1552678.4900000123
AE,201942,1510972.639999992
AE,201943,3879833.1700000474
AE,201944,3635699.4600000335
AE,201945,2302662.5600000517
AE,201946,2368112.900000058
AE,201947,3173258.440000032
AE,201948,3415158.850000325
AE,201949,2909139.7400002857
AE,201950,2477918.730000236
AE,201951,2217981.7700001807
AE,201952,1593925.720000084
AE,202001,1225816.5600000243
AE,202002,1480202.8900000183
AE,202003,1593953.990000045
AE,202004,1599154.5700001232
AE,202005,1704216.6600000595
AE,202006,1362922.4700000167
AE,202007,1160847.4700000074
AE,202008,320029.2399999994
AE,202009,566160.619999999
AE,202010,839320.3499999993
AE,202011,308410.22999999934
AE,202012,112969.8499999997
AE,202013,219272.22999999946
AE,202014,339112.4699999954
AE,202015,372330.1
AE,202016,707822.8699999986
AE,202017,1261124.4999999807
AE,202018,1098472.2599999902
AE,202019,859428.119999997
AE,202020,995552.9599999959
AE,202021,970978.6900000051
AE,202022,1619653.440000096
AE,202023,1327080.390000057
AE,202024,1128992.650000038
AE,202025,812722.1100000015
AE,202026,4659060.330000124
AE,202027,1822136.4500000523
AE,202028,883638.1100000172
AE,202029,914878.3100000076
AE,202030,1022610.4900000164
AE,202031,741351.5899999975
AE,202032,921469.7700000042
AE,202033,994713.5899999909
AE,202034,751439.9700000029
AE,202035,1311845.2400000456
AE,202036,5379295.599999898
AE,202037,4487938.339999584
AE,202038,5359114.67999982
AE,202039,14410919.339998733
AE,202040,8964620.83000249
AE,202041,6502451.510000591
AE,202042,4694457.5699998
AE,202043,12558118.969999498
AE,202044,10995652.799999649
AE,202045,7867477.28000128
AE,202046,8205375.860000525
AE,202047,10360275.910000887
AE,202048,10620699.500001185
AE,202049,14042270.769999856
AE,202050,11743722.990000188
AE,202051,10346543.979999669
AE,202052,12212908.579999875
AE,202101,8119138.870000259
AE,202102,5082613.050000107
AE,202103,4193503.449999985
AE,202104,5383192.210000128
AE,202105,5413978.649999881
AE,202106,5273246.669999946
AE,202107,5861500.780000312
AE,202108,9910013.33000183
AE,202109,17471145.419999253
AE,202110,9182646.83000144
AE,202111,3908456.8000000757
AE,202112,5161523.560000221
AE,202113,11800150.450000113
AE,202114,8869283.410000358
AE,202115,5633762.85000052
AE,202116,4597093.800000509
AE,202117,8441782.790000662
AE,202118,11383704.62999911
AE,202119,5326388.090000399
AE,202120,3789515.150000938
AE,202121,9651424.100000475
AE,202122,10802797.430000363
AE,202123,10274754.310000509
AE,202124,11378985.810000136
AE,202125,9015955.100000001
AE,202126,9652982.600000046
AE,202127,5233015.430000288
AE,202128,5750301.29000076
AE,202129,5545927.380000817
AE,202130,9187616.4000002
AE,202131,6465101.570000636
AE,202132,7806044.649999563
AE,202133,4951555.550000641
AE,202134,7142261.370000044
AE,202135,13173159.65000127
AE,202136,10114618.699999629
AE,202137,5638639.140000015
AE,202138,6239763.880000172
AE,202139,10661642.130000765
AE,202140,19880144.169997174
AE,202141,8012318.070000052
AE,202142,10024669.280000988
AE,202143,13357602.169999324
AE,202144,11712582.13999955
AE,202145,13648216.97999998
AE,202146,10586886.260000158
AE,202147,13241248.759999251
AE,202148,15523181.400000323
AE,202149,11673297.119998999
AE,202150,10148361.530001216
AE,202151,8951102.31000099
AE,202152,10718957.080000581
AE,202201,6414608.750000269
AE,202202,5682695.449999996
AE,202203,6024769.870000262
AE,202204,6938311.5500002615
AE,202205,10274943.610000666
AE,202206,8100439.440000327
AE,202207,7073533.060000316
AE,202208,11448226.779999288
AE,202209,20085656.0199977
AE,202210,6662440.610000564
AE,202211,4879703.370000569
AE,202212,6542889.579999811
AE,202213,13699096.959999742
AE,202214,8376032.470000359
AE,202215,5224099.93999984
AE,202216,5286325.9600004
AE,202217,10862605.130000388
AE,202218,9914273.090000749
AE,202219,6741880.040000575
AE,202220,6061949.7500004275
AE,202221,16525767.039998513
AE,202222,17851028.459999055
AE,202223,16693502.229999438
AE,202224,13331067.419999562
AE,202225,10737300.080001118
AE,202226,8680252.970000735
AE,202227,5394525.080000409
AE,202228,4954457.170000705
AE,202229,5007267.780000974
AE,202230,7667135.9600006
AE,202231,7475898.070000813
AE,202232,6203928.0100005325
AE,202233,5099138.330000423
AE,202234,8837727.330000516
AE,202235,14511899.099997606
AE,202236,12597204.629999207
AE,202237,6838914.88999966
AE,202238,5613848.860000318
AE,202239,7638065.89000092
AE,202240,10790028.99000098
AE,202241,11573225.390000485
AE,202242,9151514.319997543
AE,202243,13822566.900000654
AE,202244,35729756.43999899
AE,202245,17377003.550000977
AE,202246,14108451.850000348
AE,202247,13277679.370000303
AE,202248,15837072.240000907
AE,202249,18049016.940002862
AE,202250,14213884.70000064
AE,202251,12879798.959998686
AE,202252,12421490.529997293
AE,202301,9505584.589997819
AE,202302,7232356.399998959
AE,202303,6896220.239999266
AE,202304,1828265.3300000285
AE,202305,1877866.5200000282
AE,202306,2548422.120000067
AE,202307,1981589.9400000523
AE,202308,1726733.1600000367
AE,202309,1603217.1100000064
AE,202310,1737229.1900000297
AE,202311,1747629.6000000401
AE,202312,1807003.2200000454
AE,202313,13069231.18000023
AE,202314,2142545.16000001
AE,202315,1824324.5600000124
AE,202316,1663794.5999999952
AE,202317,1900057.409999998
AE,202318,1823301.1100000106
AE,202319,1597441.9700000018
AE,202320,1675724.710000043
AE,202321,2174630.8800000343
AE,202322,3406994.240000249
AE,202323,2612063.0200001067
AE,202324,2489421.2400000817
AE,202325,2294741.190000137
AE,202326,1653584.3500000655
AE,202327,1722818.340000051
AE,202328,1640541.160000042
AE,202329,2268896.330000045
AE,202330,2090052.370000067
AE,202331,2081329.2900000438
AE,202332,1655147.150000033
AE,202333,1670604.500000042
AE,202334,1576024.950000044
AE,202335,1841693.9200000116
AE,202336,2795143.070000047
AE,202337,1868520.51000004
AE,202338,1766860.2499999944
AE,202339,2116341.6400000295
AE,202340,16939325.140000224
AE,202341,4093025.110000151
AE,202342,2159448.830000031
AE,202343,5560427.570000256
AE,202344,3245644.6800001324
AE,202345,2393269.069999969
AE,202346,2394406.8500000606
AE,202347,2937932.580000102
AE,202348,3895699.9800000577
AE,202349,3476283.490000104
AE,202350,2779267.260000152
AE,202351,2401774.1200000616
AE,202352,1887302.4300000337
AE,202353,1966700.7700000103
AE,202401,1966270.3000000075
AE,202402,2062303.1400000372
AE,202403,1979607.4599999888
AE,202404,2138684.5600000527
AE,202405,2034759.3000000173
AE,202406,1419475.1000000148
