"COUNTRY_CD","YEARWEEK","UNITS"
AE,201749,53412.0
AE,201750,39431.0
AE,201751,38881.0
AE,201752,150719.58
AE,201753,18775.0
AE,201801,16409.0
AE,201802,19402.0
AE,201803,18365.0
AE,201804,29008.0
AE,201805,22987.0
AE,201806,20979.0
AE,201807,22817.0
AE,201808,32189.0
AE,201809,260324.0
AE,201810,77715.0
AE,201811,17956.0
AE,201812,541209.0
AE,201813,19608.0
AE,201814,22854.0
AE,201815,13653.0
AE,201816,13069.0
AE,201817,14650.0
AE,201818,15052.0
AE,201819,17055.0
AE,201820,35441.0
AE,201821,44472.0
AE,201822,80944.0
AE,201823,152253.0
AE,201824,120017.0
AE,201825,41128.0
AE,201826,33088.0
AE,201827,17738.0
AE,201828,16539.0
AE,201829,19395.0
AE,201830,17847.0
AE,201831,20242.0
AE,201832,21599.0
AE,201833,15913.0
AE,201834,21371.0
AE,201835,286800.0
AE,201836,77095.0
AE,201837,17272.0
AE,201838,18097.0
AE,201839,23306.0
AE,201840,18842.0
AE,201841,18728.0
AE,201842,41091.0
AE,201843,37083.0
AE,201844,73942.0
AE,201845,80037.0
AE,201846,56722.0
AE,201847,88820.0
AE,201848,79074.0
AE,201849,148387.0
AE,201850,132548.0
AE,201851,129899.0
AE,201852,75055.0
AE,201901,19114.0
AE,201902,21632.0
AE,201903,20903.0
AE,201904,36100.0
AE,201905,33948.0
AE,201906,18361.0
AE,201907,20886.0
AE,201908,22807.0
AE,201909,65911.0
AE,201910,35202.0
AE,201911,25295.0
AE,201912,27446.0
AE,201913,52610.0
AE,201914,16121.0
AE,201915,14806.0
AE,201916,15532.0
AE,201917,321907.0
AE,201918,164168.0
AE,201919,20150.0
AE,201920,36210.0
AE,201921,65858.0
AE,201922,122429.0
AE,201923,115449.0
AE,201924,61550.0
AE,201925,29510.0
AE,201926,27022.0
AE,201927,22332.0
AE,201928,25529.0
AE,201929,34708.0
AE,201930,33196.0
AE,201931,26562.0
AE,201932,16711.0
AE,201933,16634.0
AE,201934,49130.0
AE,201935,33234.0
AE,201936,22899.0
AE,201937,19566.0
AE,201938,29880.0
AE,201939,390494.0
AE,201940,33835.0
AE,201941,22128.0
AE,201942,23762.0
AE,201943,51578.0
AE,201944,53531.0
AE,201945,41451.0
AE,201946,46971.0
AE,201947,59835.0
AE,201948,71095.0
AE,201949,64992.0
AE,201950,53529.0
AE,201951,55212.0
AE,201952,34529.0
AE,202001,21248.0
AE,202002,21989.0
AE,202003,32533.0
AE,202004,35450.0
AE,202005,24793.0
AE,202006,17939.0
AE,202007,13853.0
AE,202008,4218.0
AE,202009,22101.0
AE,202010,34853.25
AE,202011,11789.25
AE,202012,4466.25
AE,202013,5786.25
AE,202014,7345.0
AE,202015,8556.0
AE,202016,17670.0
AE,202017,35996.0
AE,202018,25413.0
AE,202019,22451.0
AE,202020,27874.999999999996
AE,202021,22568.0
AE,202022,47919.0
AE,202023,37618.5
AE,202024,28911.5
AE,202025,14097.5
AE,202026,167811.5
AE,202027,53869.0
AE,202028,19185.0
AE,202029,21713.0
AE,202030,18118.0
AE,202031,12046.8
AE,202032,20045.8
AE,202033,24052.8
AE,202034,14117.800000000001
AE,202035,34650.8
AE,202036,196630.75
AE,202037,148524.75
AE,202038,186100.75
AE,202039,472937.75
AE,202040,318702.0
AE,202041,228953.0
AE,202042,145720.0
AE,202043,383198.0
AE,202044,323880.0
AE,202045,244423.0
AE,202046,281927.0
AE,202047,327855.0
AE,202048,374030.0
AE,202049,602443.0
AE,202050,535559.0
AE,202051,448537.0
AE,202052,614929.0
AE,202101,368205.0
AE,202102,154393.0
AE,202103,119561.0
AE,202104,172246.0
AE,202105,143278.0
AE,202106,132137.0
AE,202107,188660.0
AE,202108,401550.0
AE,202109,731225.0
AE,202110,366339.0
AE,202111,125867.0
AE,202112,186254.0
AE,202113,316494.0
AE,202114,353589.0
AE,202115,160027.0
AE,202116,147846.0
AE,202117,329645.0
AE,202118,527311.0
AE,202119,180464.0
AE,202120,108510.0
AE,202121,479010.0
AE,202122,517927.0
AE,202123,493478.5
AE,202124,574784.5
AE,202125,450419.5
AE,202126,467957.5
AE,202127,168145.0
AE,202128,269780.0
AE,202129,273711.0
AE,202130,429342.0
AE,202131,275373.99999999994
AE,202132,508766.0
AE,202133,265384.0
AE,202134,296254.99999999994
AE,202135,606356.0
AE,202136,471324.25
AE,202137,197253.25
AE,202138,213311.25
AE,202139,334506.25
AE,202140,841173.0
AE,202141,254484.0
AE,202142,433549.0
AE,202143,433283.0
AE,202144,331272.0
AE,202145,581883.0
AE,202146,440023.0
AE,202147,690592.0
AE,202148,842606.0
AE,202149,559135.0
AE,202150,506359.0
AE,202151,418218.0
AE,202152,467468.0
AE,202201,212613.0
AE,202202,164177.0
AE,202203,169847.0
AE,202204,221168.0
AE,202205,276151.0
AE,202206,211985.0
AE,202207,218367.0
AE,202208,479573.0
AE,202209,861869.0
AE,202210,226142.0
AE,202211,137803.0
AE,202212,193940.0
AE,202213,558444.0
AE,202214,262336.0
AE,202215,157813.0
AE,202216,153005.0
AE,202217,407280.0
AE,202218,361779.0
AE,202219,243945.0
AE,202220,196688.0
AE,202221,813120.0
AE,202222,764751.0
AE,202223,775476.0
AE,202224,625865.0
AE,202225,538071.0
AE,202226,377979.0
AE,202227,148476.0
AE,202228,140057.0
AE,202229,158263.0
AE,202230,269910.0
AE,202231,237304.0
AE,202232,221460.0
AE,202233,150580.0
AE,202234,365171.0
AE,202235,578423.0
AE,202236,484336.0
AE,202237,207700.0
AE,202238,148210.0
AE,202239,193580.0
AE,202240,367960.0
AE,202241,534154.0
AE,202242,331904.0
AE,202243,396962.0
AE,202244,1377110.0
AE,202245,639338.0
AE,202246,541456.0
AE,202247,408031.0
AE,202248,662798.0
AE,202249,888669.0
AE,202250,655488.0
AE,202251,574082.0
AE,202252,510735.0
AE,202301,312322.0
AE,202302,204376.0
AE,202303,190215.0
AE,202304,22244.0
AE,202305,21119.0
AE,202306,25494.0
AE,202307,22025.0
AE,202308,19750.0
AE,202309,18889.0
AE,202310,19984.0
AE,202311,19944.0
AE,202312,20287.0
AE,202313,499637.0
AE,202314,32348.0
AE,202315,20252.0
AE,202316,19331.0
AE,202317,26355.0
AE,202318,24029.0
AE,202319,18556.0
AE,202320,18713.0
AE,202321,23929.0
AE,202322,64002.0
AE,202323,44157.0
AE,202324,43069.0
AE,202325,40866.0
AE,202326,23089.0
AE,202327,21028.0
AE,202328,20586.0
AE,202329,38070.0
AE,202330,33244.0
AE,202331,27401.0
AE,202332,20921.0
AE,202333,20836.0
AE,202334,18699.0
AE,202335,23184.0
AE,202336,28340.0
AE,202337,20609.0
AE,202338,21090.0
AE,202339,33001.0
AE,202340,650066.0
AE,202341,77223.0
AE,202342,25468.0
AE,202343,59189.0
AE,202344,44705.0
AE,202345,32318.0
AE,202346,30618.0
AE,202347,44654.0
AE,202348,62987.0
AE,202349,51789.0
AE,202350,45653.0
AE,202351,43730.0
AE,202352,26019.0
AE,202353,24922.0
AE,202401,24832.0
