"PTNR_REGIONAL_MASTER_CD","YEARWEEK","TOTAL_SALES"
0,201948,28994.45000000001
0,201949,127699.86999999815
0,201950,102608.99999999772
0,202013,
0,202022,37745.660000000105
0,202023,72885.09000000004
0,202024,57311.330000000075
0,202025,35573.249999999956
0,202026,20965.49999999993
0,202027,10669.090000000011
0,202028,24953.83999999998
0,202029,27926.53
0,202030,24289.809999999994
0,202031,60556.52000000003
0,202032,49362.94999999998
0,202033,55158.629999999925
0,202034,117686.00999999995
0,202035,148181.90999999983
0,202036,8725356.719999703
0,202037,7622983.210000032
0,202038,6290784.719999465
0,202039,10770203.889999043
0,202040,11164489.719999233
0,202041,12500850.189999979
0,202042,7506564.70999863
0,202043,18498617.82000473
0,202044,13857158.129999759
0,202045,10631793.099999068
0,202046,12013780.059999667
0,202047,13491435.700003814
0,202048,13183821.190000236
0,202049,14770368.14000604
0,202050,11043982.380000902
0,202051,8926925.800000306
0,202052,12397298.170001525
0,202101,9947828.289998557
0,202102,7626946.580000919
0,202103,5692668.400000264
0,202104,7498891.680000723
0,202105,8093930.200000289
0,202106,6824669.510000816
0,202107,8450329.13000072
0,202108,12498236.570002783
0,202109,13437243.320007132
0,202110,10529766.8199985
0,202111,5772081.570000334
0,202112,6336461.290000171
0,202113,10987814.970001202
0,202114,11022981.709999131
0,202115,7888607.330000736
0,202116,6068300.969999636
0,202117,7939733.710001379
0,202118,9931755.370000195
0,202119,7597669.470000337
0,202120,6747935.099999511
0,202121,11969274.69000279
0,202122,12458776.510003235
0,202123,13030869.030002909
0,202124,12837224.890002938
0,202125,8708336.299998146
0,202126,8520907.679998156
0,202127,6654306.659999346
0,202128,7189804.310000213
0,202129,6387548.360000625
0,202130,12648133.970002279
0,202131,8709145.760001468
0,202132,8385182.079999798
0,202133,7256772.899999533
0,202134,11099599.130000243
0,202135,12440941.429999206
0,202136,10715807.309999982
0,202137,8481958.019999422
0,202138,7411638.609999767
0,202139,11100922.769999715
0,202140,12827841.860001646
0,202141,12716745.740001313
0,202142,11942600.380006125
0,202143,21093548.569998704
0,202144,19601336.279999588
0,202145,16403272.95000666
0,202146,16363148.360001367
0,202147,19607673.799999874
0,202148,19462825.91000002
0,202149,16509746.780002091
0,202150,13050218.43000285
0,202151,11678158.910002504
0,202152,11172363.900002873
0,202201,9149792.280001907
0,202202,7369152.120001711
0,202203,6844892.290001993
0,202204,7869972.120000824
0,202205,9734036.710001279
0,202206,8187918.120002271
0,202207,8555736.940003794
0,202208,12428889.540000532
0,202209,12812527.459997535
0,202210,6862043.510000959
0,202211,7311459.82000121
0,202212,9493508.900002867
0,202213,15242718.99999933
0,202214,10436309.740000855
0,202215,7839667.230002239
0,202216,6828202.020001622
0,202217,10943069.420001121
0,202218,10495448.060001314
0,202219,10846474.46000425
0,202220,10338042.460003564
0,202221,17569661.11999973
0,202222,15512296.549999438
0,202223,14612990.859999169
0,202224,12106553.549999207
0,202225,11220990.850000018
0,202226,10500844.940002669
0,202227,7457137.4600013895
0,202228,7209036.620000539
0,202229,7243587.630001329
0,202230,10553370.140002048
0,202231,10074538.210002223
0,202232,7904061.790000351
0,202233,8745388.100001302
0,202234,10880921.530002052
0,202235,14589555.809999082
0,202236,12694649.540000182
0,202237,8776535.650001466
0,202238,7328993.329999656
0,202239,9679663.720002182
0,202240,12968456.84000022
0,202241,13071139.44000092
0,202242,12428460.349999163
0,202243,19711736.519999564
0,202244,21771253.589999504
0,202245,18039865.609999154
0,202246,16550738.58999911
0,202247,18509299.559996616
0,202248,20146665.279998384
0,202249,17277868.489999335
0,202250,14059362.930001572
0,202251,12734361.14999992
0,202252,12663688.049998526
0,202301,9735251.059998753
0,202302,7821437.319999598
0,202303,7424084.99999934
0,202304,29599.940000000002
0,202305,
0,202306,
0,202307,
0,202308,
0,202309,
0,202310,
0,202311,
0,202312,
0,202313,
0,202314,
0,202315,
0,202316,
0,202317,
0,202318,
0,202319,
0,202320,
0,202321,
0,202322,
0,202323,
0,202324,
0,202325,
0,202326,
0,202327,
0,202328,
0,202329,
0,202330,
0,202331,
0,202332,
0,202333,
0,202334,
0,202335,
0,202336,
0,202337,
0,202338,
0,202339,
0,202340,
0,202341,
0,202342,
0,202343,
0,202344,
0,202345,
0,202346,
0,202347,
0,202348,
0,202349,
0,202350,
0,202351,
0,202352,
0,202353,
0,202401,
0,202402,
0,202403,
0,202404,
0,202405,
0,202406,
0,202407,
0,202408,
0,202409,
0,202410,
0,202411,
50000001,201749,149709.98000000126
50000001,201750,154649.6200000014
50000001,201751,159914.57000000033
50000001,201752,150773.37000000104
50000001,201753,137589.72000000128
50000001,201801,148990.76000000132
50000001,201802,165593.3700000022
50000001,201803,150529.56000000142
50000001,201804,160385.47999999952
50000001,201805,159879.96000000072
50000001,201806,176880.39999999947
50000001,201807,194054.31999999925
50000001,201808,218401.75999999887
50000001,201809,245088.37999999616
50000001,201810,217579.1699999972
50000001,201811,197226.07999999926
50000001,201812,234702.63999999568
50000001,201813,244722.36999999767
50000001,201814,240806.89999999778
50000001,201815,231583.49999999817
50000001,201816,242108.0099999946
50000001,201817,238557.8299999975
50000001,201818,232662.29999999603
50000001,201819,250262.9799999953
50000001,201820,272918.7399999941
50000001,201821,340456.51999999303
50000001,201822,382995.83999999246
50000001,201823,380339.36999999837
50000001,201824,346634.56999999535
50000001,201825,337532.1299999952
50000001,201826,363917.4100000017
50000001,201827,352776.5099999964
50000001,201828,338154.36999999976
50000001,201829,297599.97999999195
50000001,201830,283160.1199999905
50000001,201831,264126.0499999924
50000001,201832,273348.4199999926
50000001,201833,260545.8199999933
50000001,201834,261996.65999999113
50000001,201835,268618.0099999925
50000001,201836,285192.3299999916
50000001,201837,292971.20999998925
50000001,201838,282564.9499999927
50000001,201839,270238.4799999935
50000001,201840,244402.089999994
50000001,201841,272843.9499999927
50000001,201842,263700.3599999946
50000001,201843,270646.08999999356
50000001,201844,305419.3899999943
50000001,201845,350583.379999997
50000001,201846,422218.1900000007
50000001,201847,363864.06999999663
50000001,201848,324885.46999999095
50000001,201849,306392.9899999921
50000001,201850,289995.8999999961
50000001,201851,273463.3999999978
50000001,201852,260413.32000000437
50000001,201901,260600.82000000495
50000001,201902,290362.9800000096
50000001,201903,249180.76000000673
50000001,201904,252735.5400000068
50000001,201905,273573.21000000724
50000001,201906,252112.0700000076
50000001,201907,253591.5400000057
50000001,201908,262085.3000000058
50000001,201909,282363.2300000095
50000001,201910,302826.47000000614
50000001,201911,316464.1300000043
50000001,201912,321831.21000000567
50000001,201913,315215.690000007
50000001,201914,279152.3100000047
50000001,201915,280613.7000000061
50000001,201916,294554.7400000071
50000001,201917,330752.43000000855
50000001,201918,346757.3700000009
50000001,201919,339232.64000000386
50000001,201920,346734.4900000035
50000001,201921,409153.5599999939
50000001,201922,450093.8999999971
50000001,201923,447387.13999999093
50000001,201924,425348.67999999947
50000001,201925,427922.46999999956
50000001,201926,460305.00999999413
50000001,201927,466630.5999999984
50000001,201928,446845.31000000297
50000001,201929,403275.0099999948
50000001,201930,360424.6699999982
50000001,201931,343741.92999999464
50000001,201932,348914.58999999455
50000001,201933,353357.40999999444
50000001,201934,355286.2199999902
50000001,201935,352382.8400000015
50000001,201936,338453.0099999931
50000001,201937,342429.3899999892
50000001,201938,324943.08999999386
50000001,201939,314779.83999999054
50000001,201940,289868.8999999925
50000001,201941,292492.3699999912
50000001,201942,286592.8999999909
50000001,201943,292586.04999999126
50000001,201944,297873.98999999
50000001,201945,323934.03999999125
50000001,201946,405893.3199999935
50000001,201947,379202.6699999958
50000001,201948,344169.4599999962
50000001,201949,301077.10999999405
50000001,201950,261885.96999999514
50000001,201951,260512.51999999466
50000001,201952,256983.25999999163
50000001,202001,261931.66999998852
50000001,202002,307848.92999998777
50000001,202003,266632.8999999922
50000001,202004,232405.8599999962
50000001,202005,209869.21999999697
50000001,202006,158085.3000000014
50000001,202007,12693.689999999986
50000001,202008,742.9199999999997
50000001,202009,41.919999999999995
50000001,202010,0.10999999999999999
50000001,202011,0.10999999999999999
50000001,202012,0.10999999999999999
50000001,202013,0.10999999999999999
50000001,202014,18.099999999999998
50000001,202015,0.10999999999999999
50000001,202016,0.10999999999999999
50000001,202017,949.8399999999999
50000001,202018,3455.250000000001
50000001,202019,3723.2299999999996
50000001,202020,8270.47000000001
50000001,202021,11768.730000000023
50000001,202022,33334.27000000003
50000001,202023,41910.880000000034
50000001,202024,77664.90999999986
50000001,202025,77766.34999999932
50000001,202026,88775.86999999984
50000001,202027,104175.30999999982
50000001,202028,95049.36999999903
50000001,202029,82754.94999999969
50000001,202030,74673.86000000013
50000001,202031,75727.76999999993
50000001,202032,75429.23999999998
50000001,202033,71784.16000000018
50000001,202034,69160.62999999987
50000001,202035,66836.5999999998
50000001,202036,60957.60999999979
50000001,202037,66317.52999999997
50000001,202038,69008.81000000006
50000001,202039,49024.809999999765
50000001,202040,21881.160000000044
50000001,202041,12976.480000000005
50000001,202042,12420.900000000018
50000001,202043,24645.600000000006
50000001,202044,75514.65999999992
50000001,202045,95991.02999999931
50000001,202046,129966.51999999996
50000001,202047,161099.10999999836
50000001,202048,98863.03999999962
50000001,202049,78664.61999999997
50000001,202050,65728.20999999983
50000001,202051,62804.73000000017
50000001,202052,57095.24000000006
50000001,202101,52354.899999999856
50000001,202102,40685.9299999999
50000001,202103,52443.78999999975
50000001,202104,52821.4299999996
50000001,202105,62308.57999999976
50000001,202106,61467.339999999705
50000001,202107,53106.419999999984
50000001,202108,33484.97999999998
50000001,202109,42331.75000000008
50000001,202110,36100.14999999997
50000001,202111,33965.27999999998
50000001,202112,36092.97999999997
50000001,202113,49957.25000000017
50000001,202114,38724.74999999987
50000001,202115,54675.78000000003
50000001,202116,75844.96
50000001,202117,100732.58000000086
50000001,202118,106538.72000000172
50000001,202119,107997.73000000029
50000001,202120,130085.43000000168
50000001,202121,147398.4900000012
50000001,202122,204556.10000000408
50000001,202123,233279.7700000047
50000001,202124,287186.770000005
50000001,202125,294749.52000000287
50000001,202126,297031.4600000029
50000001,202127,257386.6099999962
50000001,202128,255758.37999999756
50000001,202129,228476.0099999981
50000001,202130,208583.37999999744
50000001,202131,172996.2000000002
50000001,202132,164280.91999999987
50000001,202133,168417.8499999998
50000001,202134,165319.85000000044
50000001,202135,157538.9000000006
50000001,202136,142814.8999999994
50000001,202137,167994.97000000154
50000001,202138,164245.9900000011
50000001,202139,165842.47000000035
50000001,202140,163286.68000000107
50000001,202141,140701.66000000044
50000001,202142,128569.76000000062
50000001,202143,134258.12000000133
50000001,202144,144250.94000000102
50000001,202145,183156.38000000187
50000001,202146,205921.4100000019
50000001,202147,178830.8200000017
50000001,202148,163115.21000000136
50000001,202149,155688.59999999992
50000001,202150,131586.26999999903
50000001,202151,125431.4099999996
50000001,202152,132012.16999999894
50000001,202201,148128.72000000006
50000001,202202,178433.69999999952
50000001,202203,204260.77000000115
50000001,202204,189116.68999999642
50000001,202205,157150.96999999977
50000001,202206,137238.47000000035
50000001,202207,145752.60999999885
50000001,202208,141306.48000000062
50000001,202209,138889.22000000108
50000001,202210,139775.90000000017
50000001,202211,162962.64000000077
50000001,202212,163105.62999999974
50000001,202213,148490.62
50000001,202214,156470.96000000066
50000001,202215,173224.09999999907
50000001,202216,208242.32999999568
50000001,202217,232280.77999999365
50000001,202218,227672.19999999588
50000001,202219,237815.75999999527
50000001,202220,241777.39999999435
50000001,202221,243151.07999999606
50000001,202222,269536.2399999957
50000001,202223,283214.25999999675
50000001,202224,295447.6899999954
50000001,202225,298551.93999999505
50000001,202226,337711.0699999929
50000001,202227,346273.4600000034
50000001,202228,325157.2800000031
50000001,202229,320312.23999999923
50000001,202230,290766.70999999816
50000001,202231,266262.1799999996
50000001,202232,262001.23000000432
50000001,202233,257233.5300000057
50000001,202234,234444.4700000023
50000001,202235,248424.7200000013
50000001,202236,231832.95000000205
50000001,202237,233044.27000000153
50000001,202238,268144.94000000216
50000001,202239,279512.88000000484
50000001,202240,271306.6800000019
50000001,202241,248173.72000000303
50000001,202242,238325.47000000346
50000001,202243,230757.0300000008
50000001,202244,234349.50000000233
50000001,202245,256445.9100000036
50000001,202246,303115.3099999932
50000001,202247,356793.5300000081
50000001,202248,276407.4500000054
50000001,202249,277565.6899999978
50000001,202250,199724.89999999947
50000001,202251,232292.95000000406
50000001,202252,243949.51000000458
50000001,202301,226921.17999999673
50000001,202302,229417.22999999893
50000001,202303,237074.18999999718
50000001,202304,246845.27999999703
50000001,202305,238232.57999999684
50000001,202306,242165.20999999432
50000001,202307,248169.37999999395
50000001,202308,247896.8999999953
50000001,202309,260117.67999999766
50000001,202310,295738.51999999734
50000001,202311,294772.84999999823
50000001,202312,276991.3099999993
50000001,202313,289502.289999997
50000001,202314,295641.23999999795
50000001,202315,271196.3599999974
50000001,202316,282836.3999999963
50000001,202317,300984.5599999969
50000001,202318,313699.5399999976
50000001,202319,321806.8799999974
50000001,202320,328940.74999999674
50000001,202321,353379.1999999985
50000001,202322,379709.9899999984
50000001,202323,402811.72000000207
50000001,202324,433070.2899999966
50000001,202325,446000.88999999774
50000001,202326,463577.19999999425
50000001,202327,511072.77999999456
50000001,202328,504661.4199999966
50000001,202329,473249.7499999968
50000001,202330,436648.81999999145
50000001,202331,383212.8099999961
50000001,202332,359307.70999999845
50000001,202333,377019.2699999995
50000001,202334,356322.6399999936
50000001,202335,358395.0599999987
50000001,202336,374406.4899999909
50000001,202337,372400.83999999875
50000001,202338,401203.2099999993
50000001,202339,425250.2400000011
50000001,202340,371567.9899999977
50000001,202341,318717.29000000004
50000001,202342,313225.6400000009
50000001,202343,301141.29000000015
50000001,202344,324752.95999999973
50000001,202345,347330.2900000018
50000001,202346,411165.61999998946
50000001,202347,487445.4000000076
50000001,202348,395248.1799999996
50000001,202349,385639.79999999865
50000001,202350,282893.54999999976
50000001,202351,289666.3599999967
50000001,202352,336417.49999999464
50000001,202353,299197.1199999955
50000001,202401,311116.7100000006
50000001,202402,345024.1100000012
50000001,202403,325540.1499999955
50000001,202404,323505.9900000003
50000001,202405,318848.1500000039
50000001,202406,290657.9800000042
50000001,202407,291893.93000000087
50000001,202408,337017.18999999703
50000001,202409,353581.94000000117
50000002,201749,80270.13999999937
50000002,201750,111236.67999999989
50000002,201751,100718.75999999871
50000002,201752,76898.25999999979
50000002,201753,53883.13000000021
50000002,201801,60865.869999999544
50000002,201802,68000.18999999948
50000002,201803,65812.76999999922
50000002,201804,63092.08999999946
50000002,201805,64813.90999999926
50000002,201806,61896.84999999945
50000002,201807,65330.24999999961
50000002,201808,77480.22999999933
50000002,201809,77038.76999999915
50000002,201810,68623.29999999919
50000002,201811,75094.73999999932
50000002,201812,69274.7799999993
50000002,201813,55856.37999999951
50000002,201814,62619.46999999963
50000002,201815,51310.36999999974
50000002,201816,55382.68999999934
50000002,201817,54361.5699999998
50000002,201818,59272.95999999984
50000002,201819,74442.74000000057
50000002,201820,120330.55000000044
50000002,201821,127657.08999999771
50000002,201822,115437.46999999697
50000002,201823,72361.3600000002
50000002,201824,51272.749999999745
50000002,201825,50947.21999999983
50000002,201826,53610.969999999856
50000002,201827,53511.06000000012
50000002,201828,65744.16000000047
50000002,201829,61099.89000000036
50000002,201830,55695.660000000236
50000002,201831,55458.610000000175
50000002,201832,54355.61000000029
50000002,201833,58124.200000000215
50000002,201834,70403.73000000008
50000002,201835,74007.04999999993
50000002,201836,62379.96000000016
50000002,201837,54878.45000000028
50000002,201838,51944.880000000005
50000002,201839,52515.15000000011
50000002,201840,50294.27000000041
50000002,201841,58139.91000000042
50000002,201842,57449.83000000025
50000002,201843,68932.99000000054
50000002,201844,67294.12000000072
50000002,201845,65695.29000000088
50000002,201846,79435.24000000083
50000002,201847,89818.30000000008
50000002,201848,83541.40000000001
50000002,201849,102766.09000000053
50000002,201850,88474.10000000028
50000002,201851,61873.67000000025
50000002,201852,53251.06000000032
50000002,201901,45453.0399999999
50000002,201902,47041.41999999985
50000002,201903,62194.20000000042
50000002,201904,64243.35000000007
50000002,201905,42614.86000000003
50000002,201906,43905.889999999985
50000002,201907,38072.17
50000002,201908,38667.3400000001
50000002,201909,35897.950000000004
50000002,201910,24227.709999999937
50000002,201911,28101.539999999924
50000002,201912,33879.89999999987
50000002,201913,25169.20000000001
50000002,201914,21599.55999999994
50000002,201915,17750.22999999999
50000002,201916,15562.520000000013
50000002,201917,16449.529999999973
50000002,201918,17467.33000000001
50000002,201919,18180.70999999999
50000002,201920,36999.28000000002
50000002,201921,30767.36999999993
50000002,201922,23137.06000000003
50000002,201923,25923.50000000003
50000002,201924,29361.999999999978
50000002,201925,40719.590000000026
50000002,201926,21669.969999999994
50000002,201927,23168.040000000055
50000002,201928,27975.390000000007
50000002,201929,23352.960000000006
50000002,201930,13979.66
50000002,201931,0.0
50000002,201932,0.0
50000002,201933,0.0
50000002,201934,0.0
50000002,201935,0.0
50000002,201936,0.0
50000002,201937,0.0
50000002,201938,0.0
50000002,201939,0.0
50000002,201940,0.0
50000002,201941,0.0
50000002,201942,0.0
50000002,201943,0.0
50000002,201944,0.0
50000002,201945,0.0
50000002,201946,0.0
50000002,201947,0.0
50000002,201948,0.0
50000002,201949,0.0
50000002,201950,0.0
50000002,201951,0.0
50000002,201952,0.0
50000002,202001,0.0
50000002,202002,0.0
50000002,202003,0.0
50000002,202004,0.0
50000002,202005,0.0
50000002,202006,0.0
50000002,202007,0.0
50000002,202008,0.0
50000002,202009,0.0
50000002,202010,0.0
50000002,202011,0.0
50000002,202012,0.0
50000002,202013,0.0
50000002,202014,0.0
50000002,202015,0.0
50000002,202016,0.0
50000002,202017,0.0
50000002,202018,0.0
50000002,202019,0.0
50000002,202020,0.0
50000002,202021,0.0
50000002,202022,0.0
50000002,202023,0.0
50000002,202024,0.0
50000002,202025,0.0
50000002,202026,0.0
50000002,202027,0.0
50000002,202028,0.0
50000002,202029,0.0
50000002,202030,0.0
50000002,202031,0.0
50000002,202032,0.0
50000002,202033,0.0
50000002,202034,0.0
50000002,202035,0.0
50000002,202036,0.0
50000002,202037,0.0
50000002,202038,0.0
50000002,202039,0.0
50000002,202040,0.0
50000002,202041,0.0
50000002,202042,0.0
50000002,202043,0.0
50000002,202044,0.0
50000002,202045,0.0
50000002,202046,0.0
50000002,202047,0.0
50000002,202048,0.0
50000002,202049,0.0
50000002,202050,0.0
50000002,202051,0.0
50000002,202052,0.0
50000002,202101,0.0
50000002,202102,0.0
50000002,202103,0.0
50000002,202104,0.0
50000002,202105,0.0
50000002,202106,0.0
50000002,202107,0.0
50000002,202108,0.0
50000002,202109,0.0
50000002,202110,0.0
50000002,202111,0.0
50000002,202112,0.0
50000002,202113,0.0
50000002,202114,0.0
50000002,202115,0.0
50000002,202116,0.0
50000002,202117,0.0
50000002,202118,0.0
50000002,202119,0.0
50000002,202120,0.0
50000002,202121,0.0
50000002,202122,0.0
50000002,202123,0.0
50000002,202124,0.0
50000002,202125,0.0
50000002,202126,4224.540000000003
50000002,202127,0.0
50000002,202128,6639.629999999999
50000002,202129,3526.1200000000044
50000002,202130,6497.470000000001
50000002,202131,4657.910000000002
50000002,202132,5935.890000000001
50000002,202133,9365.430000000006
50000002,202134,10691.93000000001
50000002,202135,11176.559999999998
50000002,202136,11720.039999999999
50000002,202137,7448.800000000006
50000002,202138,7625.230000000003
50000002,202139,9423.189999999995
50000002,202140,7323.290000000001
50000002,202141,7475.510000000007
50000002,202142,5965.180000000005
50000002,202143,9732.03
50000002,202144,13198.959999999995
50000002,202145,13469.579999999973
50000002,202146,18137.929999999997
50000002,202147,17633.72
50000002,202148,15916.41000000003
50000002,202149,16773.85000000002
50000002,202150,20295.38000000001
50000002,202151,36386.79000000002
50000002,202152,42068.170000000195
50000002,202201,49703.650000000096
50000002,202202,51090.31000000021
50000002,202203,33042.33000000008
50000002,202204,15238.200000000033
50000002,202205,10538.539999999997
50000002,202206,5080.079999999998
50000002,202207,16001.460000000043
50000002,202208,7674.529999999999
50000002,202209,10236.740000000007
50000002,202210,435.95000000000005
50000002,202211,414.28000000000003
50000002,202212,3477.739999999999
50000002,202213,6489.629999999996
50000002,202214,6238.799999999997
50000002,202215,6267.86
50000002,202216,7489.33
50000002,202217,7660.859999999998
50000002,202218,14151.470000000005
50000002,202219,21304.61000000003
50000002,202220,11136.109999999999
50000002,202221,13884.930000000018
50000002,202222,14201.570000000014
50000002,202223,12661.11
50000002,202224,12142.500000000002
50000002,202225,10538.979999999996
50000002,202226,20091.699999999993
50000002,202227,6711.329999999994
50000002,202228,0.0
50000002,202229,0.0
50000002,202230,0.0
50000002,202231,0.0
50000002,202232,0.0
50000002,202233,204.69
50000002,202234,3239.949999999998
50000002,202235,1876.0600000000002
50000002,202236,4103.799999999994
50000002,202237,3512.939999999997
50000002,202238,8144.169999999989
50000002,202239,6557.299999999986
50000002,202240,6788.579999999989
50000002,202241,7853.75999999998
50000002,202242,8596.119999999983
50000002,202243,9212.419999999996
50000002,202244,8306.519999999991
50000002,202245,15499.49000000002
50000002,202246,16306.249999999993
50000002,202247,10194.999999999989
50000002,202248,13837.889999999981
50000002,202249,23964.300000000014
50000002,202250,24626.750000000025
50000002,202251,27008.869999999995
50000002,202252,49841.47999999995
50000002,202301,42793.69000000004
50000002,202302,38713.23000000002
50000002,202303,17883.369999999988
50000002,202304,18829.100000000035
50000002,202305,17170.680000000044
50000002,202306,24245.570000000047
50000002,202307,23399.49000000005
50000002,202308,19083.740000000023
50000002,202309,26605.49000000004
50000002,202310,19811.75000000004
50000002,202311,17309.540000000037
50000002,202312,14977.969999999994
50000002,202313,18546.460000000046
50000002,202314,13515.290000000008
50000002,202315,13275.550000000014
50000002,202316,9488.069999999994
50000002,202317,13501.770000000033
50000002,202318,11342.35999999999
50000002,202319,13692.440000000006
50000002,202320,17084.26
50000002,202321,15240.489999999994
50000002,202322,13781.840000000002
