"PTNR_REGIONAL_MASTER_CD","YEARWEEK","SALESLOCALCURRENCY"
0,201948,24660619
0,201949,91514827.17
0,201950,87274765
0,202013,190.82
0,202022,57184781.98999977
0,202023,110420957.11999947
0,202024,86826712.06999949
0,202025,53893461.729999945
0,202026,31763100.660000004
0,202027,16164063.88
0,202028,37804701.54999997
0,202029,42308211.90000004
0,202030,35672655.25999999
0,202031,89163329.40999998
0,202032,71979075.15000015
0,202033,80739501.58999999
0,202034,135234242.18000016
0,202035,180060348.45000038
0,202036,3977871491.6699657
0,202037,5643585992.189774
0,202038,3655477846.460085
0,202039,4323613622.900446
0,202040,5772284931.540022
0,202041,13544705634.310207
0,202042,4369654543.619973
0,202043,10522118903.148344
0,202044,6633603521.639098
0,202045,5237836789.259237
0,202046,9539350628.788858
0,202047,9825132298.47897
0,202048,6819366921.077098
0,202049,5888091726.948501
0,202050,6149059280.44891
0,202051,3763404164.0586214
0,202052,4065273962.3991003
0,202101,3605941898.419404
0,202102,4306622164.240165
0,202103,3417697816.9500675
0,202104,4218599464.2395735
0,202105,3678227512.709891
0,202106,3987405559.960005
0,202107,4662584819.00011
0,202108,4498986771.679464
0,202109,3974413720.449314
0,202110,4824037331.299251
0,202111,3944004619.3896055
0,202112,3590769390.17989
0,202113,7752183085.0696745
0,202114,5134457162.389479
0,202115,7930484644.379855
0,202116,5022607032.83987
0,202117,4209980868.319271
0,202118,4260063531.3700857
0,202119,7503242635.49996
0,202120,6220342358.480143
0,202121,3808338125.049733
0,202122,3577283960.9791117
0,202123,4198290760.268536
0,202124,3246405059.359079
0,202125,1369209366.4998841
0,202126,2201445839.4801097
0,202127,1968399619.1998246
0,202128,5759257761.338775
0,202129,4719257742.4290695
0,202130,5643953223.729371
0,202131,4521079032.259132
0,202132,4149985101.6793823
0,202133,5131022367.709473
0,202134,8343480945.490728
0,202135,5912977460.069351
0,202136,5833196361.008561
0,202137,5259159853.368956
0,202138,4346447054.248111
0,202139,4111026838.5499067
0,202140,5651610689.288978
0,202141,10969918181.522337
0,202142,6528558427.490742
0,202143,12117231719.870693
0,202144,16999448377.795925
0,202145,9551479117.592146
0,202146,11360204274.39314
0,202147,13055819742.69761
0,202148,8541909363.451453
0,202149,18291170632.234962
0,202150,11769343788.521502
0,202151,8723570627.359856
0,202152,6168663149.789875
0,202201,5781112264.989887
0,202202,3725532343.540518
0,202203,3241817690.080638
0,202204,4721064826.290389
0,202205,5327333574.820241
0,202206,5314473511.470187
0,202207,6113802626.940752
0,202208,6052691162.090026
0,202209,5605479481.300282
0,202210,4790031807.09025
0,202211,6156525594.339477
0,202212,6685017496.9410095
0,202213,9677255521.390776
0,202214,7553072532.830109
0,202215,5415024463.810499
0,202216,4608998808.640036
0,202217,5666960927.479763
0,202218,5926791124.270035
0,202219,10602884125.480017
0,202220,11292783303.489252
0,202221,8611456419.323109
0,202222,7325976527.561796
0,202223,5980021251.782264
0,202224,5219851587.290663
0,202225,5096303586.400359
0,202226,5302777296.019987
0,202227,5222847166.509924
0,202228,5651089248.009788
0,202229,7394773571.849741
0,202230,8354457475.969587
0,202231,6092432777.960338
0,202232,5338167338.809957
0,202233,9159979866.58046
0,202234,6191982061.10013
0,202235,5755320821.189349
0,202236,7043964408.84923
0,202237,7050638029.970136
0,202238,5143398462.259076
0,202239,6512673813.329302
0,202240,8855348799.09893
0,202241,12951750678.549747
0,202242,7463383924.32243
0,202243,15504970424.1045
0,202244,22458529933.804
0,202245,9792580925.810474
0,202246,12596172270.619587
0,202247,14795095526.658718
0,202248,23373686210.367554
0,202249,12598635904.203163
0,202250,9652952707.963192
0,202251,7580443030.611613
0,202252,9403567122.534302
0,202301,6893772024.04176
0,202302,6729433724.282046
0,202303,5825322973.930762
0,202304,833822.5699999982
0,202305,373755.3299999989
0,202306,533414.4699999995
0,202307,259241.35999999975
0,202308,228767.67999999953
0,202309,251288.6100000001
0,202310,310099.22999999934
0,202311,266803.6399999989
0,202312,305176.79999999906
0,202313,295161.3299999995
0,202314,336625.3699999987
0,202315,287668.50999999925
0,202316,343719.4399999996
0,202317,251552.98999999985
0,202318,382763.61999999895
0,202319,310107.1799999987
0,202320,328514.0399999989
0,202321,335002.66999999917
0,202322,248000.1799999998
0,202323,226962.54999999964
0,202324,206494.86999999968
0,202325,225628.51999999917
0,202326,215472.63999999972
0,202327,293332.91999999963
0,202328,292562.2399999997
0,202329,323664.8899999999
0,202330,287391.6799999996
0,202331,237690.75000000012
0,202332,305639.23999999935
0,202333,298521.5699999998
0,202334,289691.6199999997
0,202335,428636.9199999996
0,202336,437461.5500000004
0,202337,441419.62999999954
0,202338,384967.5399999996
0,202339,362358.93
0,202340,423260.9600000005
0,202341,391673.20000000036
0,202342,279743.58000000025
0,202343,299863.52999999933
0,202344,291276.7799999994
0,202345,318558.2200000001
0,202346,822990.7299999996
0,202347,344803.43000000034
0,202348,279315.3999999998
0,202349,302140.01999999967
0,202350,287918.8999999997
0,202351,466160.8299999996
0,202352,384007.7099999998
0,202353,362218.57999999943
0,202401,358620.17999999924
0,202402,451533.539999999
0,202403,273486.74999999994
0,202404,297608.99999999953
0,202405,762623.009999998
0,202406,322732.989999999
0,202407,403001.3400000004
0,202408,328297.27999999974
0,202409,432363.47
0,202410,333947.20999999973
0,202411,86086.57000000002
50000001,201749,716690.0100000016
50000001,201750,623230.889999999
50000001,201751,691047.1799999985
50000001,201752,596497.8899999926
50000001,201753,493539.3700000019
50000001,201801,512500.44999999896
50000001,201802,640109.6999999981
50000001,201803,591474.0200000028
50000001,201804,657010.7500000087
50000001,201805,721981.090000006
50000001,201806,702202.6900000069
50000001,201807,786611.0300000028
50000001,201808,939088.0400000068
50000001,201809,944806.560000006
50000001,201810,763810.7000000062
50000001,201811,768674.8700000067
50000001,201812,958353.6200000051
50000001,201813,905283.8500000075
50000001,201814,831607.0300000116
50000001,201815,809255.0800000067
50000001,201816,859126.7900000077
50000001,201817,824266.1700000109
50000001,201818,790269.7100000102
50000001,201819,905514.1700000062
50000001,201820,1048586.9300000016
50000001,201821,1124268.1499999978
50000001,201822,1246489.3999999918
50000001,201823,1246186.5699999854
50000001,201824,1145459.8599999908
50000001,201825,998847.519999993
50000001,201826,1012459.0499999959
50000001,201827,1046015.720000009
50000001,201828,1025094.2800000113
50000001,201829,964488.7100000067
50000001,201830,859329.7599999921
50000001,201831,822139.3999999994
50000001,201832,916611.3799999962
50000001,201833,829857.0300000036
50000001,201834,868987.9999999991
50000001,201835,826458.7600000047
50000001,201836,915072.2599999967
50000001,201837,981873.7000000001
50000001,201838,880803.1299999965
50000001,201839,903759.4799999968
50000001,201840,814075.169999993
50000001,201841,870090.9300000014
50000001,201842,832579.0199999982
50000001,201843,891598.150000004
50000001,201844,951519.4500000016
50000001,201845,1227600.7600000117
50000001,201846,1399039.08000001
50000001,201847,1231999.1400000022
50000001,201848,1088544.1199999945
50000001,201849,954263.3999999887
50000001,201850,876061.3399999973
50000001,201851,792641.9199999938
50000001,201852,823258.7099999976
50000001,201901,777353.6500000075
50000001,201902,846022.4000000027
50000001,201903,817452.7799999989
50000001,201904,857860.4799999993
50000001,201905,903122.4099999951
50000001,201906,840337.5200000012
50000001,201907,801926.4399999934
50000001,201908,907186.7999999969
50000001,201909,887464.3299999958
50000001,201910,987312.099999999
50000001,201911,1106351.1100000055
50000001,201912,1050614.1500000013
50000001,201913,966363.5999999954
50000001,201914,964248.1499999985
50000001,201915,944067.6200000028
50000001,201916,909831.589999997
50000001,201917,1063765.0599999968
50000001,201918,1069667.120000012
50000001,201919,1095187.8300000047
50000001,201920,1684267.990000026
50000001,201921,2100594.3100000126
50000001,201922,1886109.180000008
50000001,201923,1985689.440000018
50000001,201924,1780067.3500000092
50000001,201925,1725177.660000024
50000001,201926,1724499.2600000286
50000001,201927,1829297.5000000244
50000001,201928,1646146.170000036
50000001,201929,1524885.3900000278
50000001,201930,1843365.6499999957
50000001,201931,1423434.7900000054
50000001,201932,1294523.2899999984
50000001,201933,1416454.5400000233
50000001,201934,1513448.8100000264
50000001,201935,1549218.1900000216
50000001,201936,1251710.7399999888
50000001,201937,1457253.6500000076
50000001,201938,1236874.309999991
50000001,201939,1165154.379999998
50000001,201940,1462295.4700000172
50000001,201941,1492170.5600000394
50000001,201942,1537217.890000001
50000001,201943,1393359.880000011
50000001,201944,1485145.110000022
50000001,201945,1616343.2300000077
50000001,201946,1837246.8800000348
50000001,201947,1784760.6400000062
50000001,201948,2005132.4900000158
50000001,201949,1273945.9400000155
50000001,201950,1111204.1800000092
50000001,201951,1015679.8600000048
50000001,201952,1044568.2200000045
50000001,202001,1337065.4300000449
50000001,202002,1567718.9500000125
50000001,202003,1656389.9100000053
50000001,202004,1684505.2599999988
50000001,202005,1224573.1200000094
50000001,202006,944915.6999999918
50000001,202007,485135.8699999994
50000001,202008,38045.57000000002
50000001,202009,37.14
50000001,202010,0.13999999999999999
50000001,202011,0.13999999999999999
50000001,202012,0.13999999999999999
50000001,202013,0.13999999999999999
50000001,202014,10593.359999999999
50000001,202015,0.13999999999999999
50000001,202016,0.13999999999999999
50000001,202017,840.6199999999999
50000001,202018,28766.26000000001
50000001,202019,4853.910000000001
50000001,202020,47691.01000000002
50000001,202021,66537.89000000013
50000001,202022,39213.51000000011
50000001,202023,83892.12000000011
50000001,202024,342244.5999999994
50000001,202025,391543.8999999942
50000001,202026,531745.8300000015
50000001,202027,488179.9899999981
50000001,202028,408456.30999999674
50000001,202029,501131.5499999983
50000001,202030,307384.1199999987
50000001,202031,539330.4299999957
50000001,202032,419679.08999999624
50000001,202033,399181.46999999613
50000001,202034,406829.8399999976
50000001,202035,406843.1099999971
50000001,202036,481935.2899999976
50000001,202037,648220.7099999974
50000001,202038,638336.6899999972
50000001,202039,654318.6300000001
50000001,202040,556132.0299999982
50000001,202041,521120.7299999976
50000001,202042,822643.8699999993
50000001,202043,753873.53
50000001,202044,807097.8
50000001,202045,1709810.6699999855
50000001,202046,567113.8299999989
50000001,202047,743556.2399999988
50000001,202048,459720.6100000017
50000001,202049,231232.25999999995
50000001,202050,172052.56999999928
50000001,202051,306620.35999999905
50000001,202052,259631.30000000037
50000001,202101,121471.68000000059
50000001,202102,101503.37000000055
50000001,202103,132043.4500000009
50000001,202104,122201.05000000031
50000001,202105,122897.19000000041
50000001,202106,90897.8500000005
50000001,202107,470212.10999999987
50000001,202108,418383.47999999626
50000001,202109,599633.1699999985
50000001,202110,425450.53999999847
50000001,202111,457809.2699999968
50000001,202112,187386.79000000007
50000001,202113,400757.4000000002
50000001,202114,303779.0200000002
50000001,202115,492876.0199999963
50000001,202116,357282.4700000001
50000001,202117,467032.4499999957
50000001,202118,376593.66999999847
50000001,202119,462774.95999999996
50000001,202120,676601.2099999991
50000001,202121,886516.689999984
50000001,202122,1078024.6799999787
50000001,202123,1165108.5499999938
50000001,202124,1086277.6199999894
50000001,202125,1335829.3799999836
50000001,202126,1201836.0499999763
50000001,202127,1636024.47000003
50000001,202128,1327161.0499999758
50000001,202129,1213444.1299999822
50000001,202130,1159719.5299999944
50000001,202131,933681.8799999902
50000001,202132,731689.2999999879
50000001,202133,1056656.7099999816
50000001,202134,1047348.5899999887
50000001,202135,1139901.7599999858
50000001,202136,931680.3099999849
50000001,202137,1048270.5299999972
50000001,202138,952813.6599999894
50000001,202139,1155302.4599999955
50000001,202140,1218161.4399999955
50000001,202141,933220.6499999968
50000001,202142,678464.3899999922
50000001,202143,1008391.9999999946
50000001,202144,1107786.1499999948
50000001,202145,1225655.929999998
50000001,202146,952073.8100000005
50000001,202147,883587.9600000025
50000001,202148,1015388.0099999944
50000001,202149,1057282.9599999986
50000001,202150,567385.5100000007
50000001,202151,473121.78999999724
