"PTNR_REGIONAL_MASTER_CD","YEARWEEK","UNITS"
0,201948,4685.0
0,201949,21618.0
0,201950,18404.0
0,202013,2.0
0,202022,3043.0
0,202023,6234.0
0,202024,4525.0
0,202025,2032.0
0,202026,1078.0
0,202027,512.0
0,202028,1058.0
0,202029,1195.0
0,202030,1331.0
0,202031,3231.0
0,202032,2826.0
0,202033,3147.0
0,202034,10161.0
0,202035,11227.0
0,202036,1120457.0
0,202037,1015962.0
0,202038,778845.0
0,202039,1188295.0
0,202040,1343641.0
0,202041,1631054.0
0,202042,882857.0
0,202043,2306880.0
0,202044,1645555.0
0,202045,1195531.0
0,202046,1449282.0
0,202047,1605560.0
0,202048,1795496.0
0,202049,2309347.0
0,202050,1779045.0
0,202051,1405457.0
0,202052,2162895.0
0,202101,1624519.0
0,202102,940878.0
0,202103,631376.0
0,202104,877072.0
0,202105,891082.0
0,202106,750431.0
0,202107,1010679.0
0,202108,1725474.0
0,202109,1927465.0
0,202110,1459817.0
0,202111,649353.0
0,202112,770702.0
0,202113,1296011.0
0,202114,1458603.0
0,202115,880658.0
0,202116,717856.0
0,202117,1040796.0
0,202118,1472454.0
0,202119,957046.0
0,202120,829160.0
0,202121,1946686.0
0,202122,2063005.0
0,202123,2277135.0
0,202124,2309039.0
0,202125,1471877.0
0,202126,1339521.0
0,202127,840163.0
0,202128,1035034.0
0,202129,991380.0
0,202130,1956793.0
0,202131,1265982.0
0,202132,1559120.0
0,202133,1166214.0
0,202134,1630229.0
0,202135,1895500.0
0,202136,1661815.0
0,202137,1220781.0
0,202138,962668.0
0,202139,1334068.0
0,202140,1779813.0
0,202141,1688669.0
0,202142,1721868.0
0,202143,2724457.0
0,202144,2346178.0
0,202145,2192693.0
0,202146,2170139.0
0,202147,3073104.0
0,202148,3370976.0
0,202149,2865194.0
0,202150,2263269.0
0,202151,2027636.0
0,202152,1832238.0
0,202201,1269940.0
0,202202,961389.0
0,202203,842749.0
0,202204,989340.0
0,202205,1125262.0
0,202206,954252.0
0,202207,1100183.0
0,202208,1908018.0
0,202209,1948977.0
0,202210,846012.0
0,202211,851113.0
0,202212,1151538.0
0,202213,2070080.0
0,202214,1198839.0
0,202215,930078.0
0,202216,803247.0
0,202217,1476856.0
0,202218,1351432.0
0,202219,1484447.0
0,202220,1360304.0
0,202221,3094325.0
0,202222,2492392.0
0,202223,2558058.0
0,202224,2165604.0
0,202225,2015868.0
0,202226,1605412.0
0,202227,886321.0
0,202228,869590.0
0,202229,917304.0
0,202230,1455034.0
0,202231,1220756.0
0,202232,1027292.0
0,202233,1091587.0
0,202234,1631395.0
0,202235,2240452.0
0,202236,1853853.0
0,202237,1244961.0
0,202238,960309.0
0,202239,1160329.0
0,202240,1780644.0
0,202241,2071012.0
0,202242,1745419.0
0,202243,2673420.0
0,202244,2946087.0
0,202245,2478738.0
0,202246,2361063.0
0,202247,2354679.0
0,202248,3267216.0
0,202249,3122141.0
0,202250,2449853.0
0,202251,2218968.0
0,202252,2143535.0
0,202301,1452749.0
0,202302,1046782.0
0,202303,965416.0
0,202304,6730.0
0,202305,4080.0
0,202306,5404.0
0,202307,3157.0
0,202308,2799.0
0,202309,2505.0
0,202310,3364.0
0,202311,2529.0
0,202312,3074.0
0,202313,2818.0
0,202314,2988.0
0,202315,2681.0
0,202316,3396.0
0,202317,2600.0
0,202318,4283.0
0,202319,3485.0
0,202320,3743.0
0,202321,3285.0
0,202322,2378.0
0,202323,2070.0
0,202324,1887.0
0,202325,1883.0
0,202326,1889.0
0,202327,3203.0
0,202328,2192.0
0,202329,2385.0
0,202330,2512.0
0,202331,2134.0
0,202332,2850.0
0,202333,3124.0
0,202334,3470.0
0,202335,5579.0
0,202336,5318.0
0,202337,4763.0
0,202338,3872.0
0,202339,4833.0
0,202340,4781.0
0,202341,3742.0
0,202342,2883.0
0,202343,3241.0
0,202344,3133.0
0,202345,3528.0
0,202346,10978.0
0,202347,3634.0
0,202348,2525.0
0,202349,3387.0
0,202350,3092.0
0,202351,5081.0
0,202352,4481.0
0,202353,4568.0
0,202401,5273.0
0,202402,5437.0
0,202403,3318.0
0,202404,3209.0
0,202405,10990.0
0,202406,4008.0
0,202407,4695.0
0,202408,3685.0
0,202409,5944.0
0,202410,4080.0
0,202411,936.0
50000001,201749,9260.0
50000001,201750,10563.0
50000001,201751,10833.0
50000001,201752,10060.0
50000001,201753,8925.0
50000001,201801,8654.0
50000001,201802,9263.0
50000001,201803,8660.0
50000001,201804,9042.0
50000001,201805,9111.0
50000001,201806,10029.0
50000001,201807,10378.0
50000001,201808,12347.0
50000001,201809,13293.0
50000001,201810,11982.0
50000001,201811,10838.0
50000001,201812,12625.0
50000001,201813,13188.89
50000001,201814,13315.39
50000001,201815,12764.22
50000001,201816,13918.36
50000001,201817,13802.34
50000001,201818,13372.0
50000001,201819,14372.0
50000001,201820,15900.0
50000001,201821,22079.0
50000001,201822,26431.0
50000001,201823,25173.0
50000001,201824,21287.68
50000001,201825,19557.0
50000001,201826,21232.0
50000001,201827,20909.0
50000001,201828,20161.0
50000001,201829,18064.0
50000001,201830,17023.0
50000001,201831,16191.0
50000001,201832,16429.0
50000001,201833,15863.0
50000001,201834,15687.0
50000001,201835,15895.0
50000001,201836,17045.0
50000001,201837,17389.0
50000001,201838,16762.0
50000001,201839,15884.0
50000001,201840,14206.0
50000001,201841,16094.0
50000001,201842,15503.0
50000001,201843,15669.0
50000001,201844,18106.0
50000001,201845,20223.0
50000001,201846,25068.53
50000001,201847,22486.49
50000001,201848,20729.52
50000001,201849,20498.989999999998
50000001,201850,18901.85
50000001,201851,17364.3
50000001,201852,16434.75
50000001,201901,16406.83
50000001,201902,18188.73
50000001,201903,15771.49
50000001,201904,15564.0
50000001,201905,16545.0
50000001,201906,15289.0
50000001,201907,15495.0
50000001,201908,15914.0
50000001,201909,17179.0
50000001,201910,18111.0
50000001,201911,18875.94
50000001,201912,18921.0
50000001,201913,18587.0
