regional_master,date_field,sales
50000001,2018-01-07,148990.76000000132
50000001,2018-01-14,165593.3700000022
50000001,2018-01-21,150529.56000000142
50000001,2018-01-28,160385.47999999952
50000001,2018-02-04,159879.96000000072
50000001,2018-02-11,176880.39999999947
50000001,2018-02-18,194054.31999999925
50000001,2018-02-25,218401.75999999887
50000001,2018-03-04,245088.37999999616
50000001,2018-03-11,217579.1699999972
50000001,2018-03-18,197226.0799999993
50000001,2018-03-25,234702.63999999568
50000001,2018-04-01,244722.36999999767
50000001,2018-04-08,240806.89999999767
50000001,2018-04-15,231583.49999999817
50000001,2018-04-22,242108.0099999946
50000001,2018-04-29,238557.8299999975
50000001,2018-05-06,232662.29999999603
50000001,2018-05-13,250262.9799999953
50000001,2018-05-20,272918.7399999941
50000001,2018-05-27,340456.51999999303
50000001,2018-06-03,382995.83999999246
50000001,2018-06-10,380339.3699999984
50000001,2018-06-17,346634.5699999953
50000001,2018-06-24,337532.1299999952
50000001,2018-07-01,363917.4100000017
50000001,2018-07-08,352776.5099999964
50000001,2018-07-15,338154.36999999976
50000001,2018-07-22,297599.97999999195
50000001,2018-07-29,283160.1199999905
50000001,2018-08-05,264126.0499999924
50000001,2018-08-12,273348.4199999926
50000001,2018-08-19,260545.8199999933
50000001,2018-08-26,261996.6599999912
50000001,2018-09-02,268618.0099999925
50000001,2018-09-09,285192.3299999916
50000001,2018-09-16,292971.20999998925
50000001,2018-09-23,282564.9499999927
50000001,2018-09-30,270238.4799999935
50000001,2018-10-07,244402.089999994
50000001,2018-10-14,272843.9499999927
50000001,2018-10-21,263700.3599999946
50000001,2018-10-28,270646.0899999936
50000001,2018-11-04,305419.3899999943
50000001,2018-11-11,350583.379999997
50000001,2018-11-18,422218.1900000007
50000001,2018-11-25,363864.06999999663
50000001,2018-12-02,324885.4699999909
50000001,2018-12-09,306392.9899999921
50000001,2018-12-16,289995.8999999961
50000001,2018-12-23,273463.3999999978
50000001,2018-12-30,260413.3200000044
50000001,2019-01-13,260600.82000000493
50000001,2019-01-20,290362.9800000096
50000001,2019-01-27,249180.7600000068
50000001,2019-02-03,252735.5400000068
50000001,2019-02-10,273573.21000000724
50000001,2019-02-17,252112.0700000076
50000001,2019-02-24,253591.5400000057
50000001,2019-03-03,262085.3000000058
50000001,2019-03-10,282363.2300000095
50000001,2019-03-17,302826.47000000614
50000001,2019-03-24,316464.1300000043
50000001,2019-03-31,321831.21000000567
50000001,2019-04-07,315215.690000007
50000001,2019-04-14,279152.3100000047
50000001,2019-04-21,280613.7000000061
50000001,2019-04-28,294554.7400000071
50000001,2019-05-05,330752.4300000085
50000001,2019-05-12,346757.3700000009
50000001,2019-05-19,339232.64000000386
50000001,2019-05-26,346734.4900000035
50000001,2019-06-02,409153.5599999939
50000001,2019-06-09,450093.8999999971
